pk_service_type;fk_package_type;serviceTypeCode;submitterNumber;submitterTypeId;minValue;maxValue;currentValue;visible;isCod;hasDeliveryPoints;labelText;name;reportname;palletteMinValue;palletteMaxValue;palletteCurrentValue;pallettePrefix;isPalletteType;fk_image_logo;paymentType;printLabel
529;1033;BG_SPEEDY_HD;X;4015;1;9999999999;1;0;NULL;0;NULL;BG Speedy HD;BG Speedy HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
530;1033;BG_SPEEDY_PP;X;4017;1;9999999999;1;0;NULL;1;NULL;BG Speedy PP;BG Speedy PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
531;1033;DE_HERMES_HD;X;6373;1;9999999999;1;0;NULL;0;NULL;DE Hermes HD;DE Hermes HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
532;1033;DE_HERMES_PP;X;6828;1;9999999999;1;0;NULL;1;NULL;DE Hermes PP;DE Hermes PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
533;1033;DK_POST_HD;X;4993;1;9999999999;1;0;NULL;0;NULL;DK Post Nord HD;DK Post Nord HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
534;1033;DK_POST_PP;X;4994;1;9999999999;1;0;NULL;1;NULL;DK Post Nord PP;DK Post Nord PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
535;1033;EE_OMNIVA_BOX;X;5062;1;9999999999;1;0;NULL;1;NULL;EE Omniva Box;EE Omniva Box;NULL;NULL;NULL;NULL;0;NULL;NULL;1
536;1033;EE_OMNIVA_HD;X;5060;1;9999999999;1;0;NULL;0;NULL;EE Omniva HD;EE Omniva HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
537;1033;EE_OMNIVA_PP;X;5061;1;9999999999;1;0;NULL;1;NULL;EE Omniva PP;EE Omniva PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
538;1033;ES_CORREOS;X;4638;1;9999999999;1;0;NULL;0;NULL;ES Correos HD;ES Correos HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
539;1033;ES_MRW_HD;X;4653;1;9999999999;1;0;NULL;0;NULL;ES MRW HD;ES MRW HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
540;1033;ES_MRW_PP;X;4654;1;9999999999;1;0;NULL;1;NULL;ES MRW PP;ES MRW PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
541;1033;FI_POST_HD;X;4830;1;9999999999;1;0;NULL;0;NULL;FI Post Nord HD;FI Post Nord HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
542;1033;FI_POST_PP;X;4828;1;9999999999;1;0;NULL;1;NULL;FI Post Nord PP;FI Post Nord PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
543;1033;FR_COLIS_HD;X;16080;1;9999999999;1;0;NULL;0;NULL;FR Colis Privé HD;FR Colis Privé HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
544;1033;FR_COLIS_PP;X;4307;1;9999999999;1;0;NULL;1;NULL;FR Colissimo PP;FR Colissimo PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
545;1033;FR_MONDIAL_PP;X;12889;1;9999999999;1;0;NULL;1;NULL;FR Mondial PP;FR Mondial PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
546;1033;GB_ROYAL_24;X;4856;1;9999999999;1;0;NULL;0;NULL;GB Royal Mail 24 HD;GB Royal Mail 24 HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
547;1033;GB_ROYAL_48;X;4857;1;9999999999;1;0;NULL;0;NULL;GB Royal Mail 48 HD;GB Royal Mail 48 HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
548;1033;GR_ACS_HD;X;17465;1;9999999999;1;0;NULL;0;NULL;GR ACS HD;GR ACS HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
549;1033;GR_ACS_PP;X;17467;1;9999999999;1;0;NULL;1;NULL;GR ACS PP;GR ACS PP;NULL;NULL;NULL;NULL;0;NULL;NULL;1
550;1033;GR_TAXYDROMIKI;X;8847;1;9999999999;1;0;NULL;0;NULL;GR Taxydromiki;GR Taxydromiki;NULL;NULL;NULL;NULL;0;NULL;NULL;1
551;1033;HR_DPD;X;4646;1;9999999999;1;0;NULL;0;NULL;HR DPD HD;HR DPD HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
552;1033;HR_POST_HD;X;4634;1;9999999999;1;0;NULL;0;NULL;HR Chorvatská pošta HD;HR Chorvatská pošta HD;NULL;NULL;NULL;NULL;0;NULL;NULL;1
